,CommonName,Locomotion
455,Milne_Edwards_s_Sifaka,AR
456,Perrier_s_Sifaka,AR
457,Tattersall_s_Sifaka,AR
458,Verreaux_s_Sifaka,AR
459,Grey_shanked_Douc,AR
460,Red_shanked_Douc,AR
461,Black_shanked_Douc,AR
462,Tonkin_Snub_nosed_Monkey,AR
463,Yunnan_Snub_nosed_Monkey,BOTH
465,Guizhou_Snub_nosed_Monkey,BOTH
466,Golden_Snub_nosed_Monkey,BOTH
467,Stryker_s_Snub_nosed_Monkey,BOTH
468,Kipunji,AR
469,Pied_Tamarin,AR
470,Geoffroy_s_Tamarin,AR
471,Emperor_Tamarin,AR
472,Mottled_face_Tamarin,AR
473,Red_bellied_Tamarin,AR
474,White_footed_Tamarin,AR
475,Martin_s_Bare_faced_Tamarin,AR
476,Midas_Tamarin,AR
477,Mustached_Tamarin,AR
478,Western_Black_handed_Tamarin,AR
479,Cotton_top_Tamarin,AR
480,Eastern_Black_handed_Tamarin,AR
481,Black_capped_Squirrel_Monkey,AR
482,Humboldt_s_Squirrel_Monkey,AR
483,Collins'_Squirrel_Monkey,
484,Ecuadorian_Squirrel_Monkey,AR
485,Central_American_Squirrel_Monkey,AR
486,Guianan_Squirrel_Monkey,AR
487,Golden_backed_Squirrel_Monkey,AR
488,Black_headed_Squirrel_Monkey,AR
489,Guianan_Brown_Capuchin,AR
490,Hooded_Capuchin,AR
491,Blond_Capuchin,AR
492,Bearded_Capuchin,AR
493,Large_headed_Capuchin,AR
494,Black_horned_Capuchin,AR
495,Crested_Capuchin,AR
496,Yellow_breasted_Capuchin,AR
497,Bioko_Squirrel_Galago,AR
498,Cross_River_Squirrel_Galago,AR
499,Gabon_Squirrel_Galago,AR
500,Makandé_squirrel_galago,AR
501,Chamba_Sacred_Langur,BOTH
503,Bengal_Sacred_Langur,T
504,Terai_Sacred_Langur,BOTH
505,Malabar_Sacred_Langur,BOTH & T
507,Nilgiri_Langur,AR
508,Tufted_Gray_Langur,BOTH
510,Nepal_Sacred_Langur,BOTH
511,Purple_faced_Langur,AR
512,Pig_tailed_Langur,BOTH
514,Siamang,AR
515,Dian_s_Tarsier,AR
516,Makassar_Tarsier,AR
517,Lariang_Tarsier,AR
518,Peleng_Tarsier,AR
519,Sulawesi_Mountain_Tarsier,AR
520,Great_Sangihe_Tarsier,AR
521,Gursky's_Spectral_Tarsier ,
522,Jatna's_Tarsier,
523,Selayar_Tarsier,AR
524,Siau_Island_Tarsier,AR
525,Wallace_s_Tarsier,AR
526,Gelada,T
527,East_Javan_Langur,AR
528,Tenasserim_Langur,
529,Indochinese_Gray_Langur,AR
530,Silvered_Langur,AR
531,Delacour_s_Langur,BOTH & AR
