CommonName,Status,Habitat_Forest,Habitat_Savanna,Habitat_Shrubland,Habitat_Grassland,Habitat_Wetlands,Habitat_Rocky areas,Habitat_Desert,Average_Weight
Golden_mantled_Saddle_back_Tamarin,NT,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4
WeddellÂs_Saddle_back_Tamarin,LC,,,,,,,,0.36
Black_faced_Lion_Tamarin,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58
Golden_headed_Lion_Tamarin,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58
Black_Lion_Tamarin,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.615
Golden_Lion_Tamarin,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64
Antafia_Sportive_Lemur,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89
Tsiombikibo_Sportive_Lemur,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61
Ankarana_Sportive_Lemur,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77
Betsileo_Sportive_Lemur,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15
Gray_s_Sportive_Lemur,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87
Milne_Edwards_s_Sportive_Lemur,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
Andohahela_Sportive_Lemur,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89
Anjiamangirana_Sportive_Lemur,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78
Mananara_Nord_Sportive_Lemur,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Zombitse_Sportive_Lemur,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99
Manombo_Sportive_Lemur,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78
White_footed_Sportive_Lemur,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61
