,Family,Genus,CommonName,Locomotion
323,Cheirogaleidae,Microcebus,Tavaratra_Mouse_Lemur,AR
324,Cercopithecidae,Miopithecus,Northern_Talapoin_Monkey,BOTH
325,Cercopithecidae,Miopithecus,Northern_Talapoin_Monkey,BOTH
326,Cercopithecidae,Miopithecus,Southern_Talapoin_Monkey,BOTH
327,Cercopithecidae,Miopithecus,Southern_Talapoin_Monkey,BOTH
328,Cheirogaleidae,Mirza,Coquerel_s_Giant_Mouse_Lemur,AR
329,Cheirogaleidae,Mirza,Northern_Giant_Mouse_Lemur,AR
330,Cercopithecidae,Nasalis,Proboscis_Monkey,AR
331,Hylobatidae,Nomascus,Northern_Yellow_cheeked_Crested_Gibbon,AR
332,Hylobatidae,Nomascus,Western_Black_Crested_Gibbon,AR
333,Hylobatidae,Nomascus,Southern_Yellow_cheeked_Crested_Gibbon,AR
334,Hylobatidae,Nomascus,Hainan_Crested_Gibbon,AR
335,Hylobatidae,Nomascus,Northern_White_cheeked_Crested_Gibbon,AR
336,Hylobatidae,Nomascus,Eastern_Black_Crested_Gibbon,AR
337,Hylobatidae,Nomascus,Southern_White_cheeked_Crested_Gibbon,AR
338,Lorisidae,Nycticebus,Bangka_Slow_Loris,AR
339,Lorisidae,Nycticebus,Bengal_Slow_Loris,AR
340,Lorisidae,Nycticebus,Bornean_Slow_Loris,AR
341,Lorisidae,Nycticebus,Sunda_Slow_Loris,AR
342,Lorisidae,Nycticebus,Javan_Slow_Loris,AR
343,Lorisidae,Nycticebus,Kayan_River_Slow_Loris,AR
344,Lorisidae,Nycticebus,Philippine_Slow_Loris,AR
345,Lorisidae,Nycticebus,Pygmy_Slow_Loris,AR
346,Galagidae,Otolemur,Thick_tailed_Greater_Galago,AR
347,Galagidae,Otolemur,Garnett_s_Greater_Galago,AR
348,Hominidae,Pan,Bonobo,BOTH
349,Hominidae,Pan,Chimpanzee,BOTH
350,Cercopithecidae,Papio,Olive_Baboon,T
351,Cercopithecidae,Papio,Olive_Baboon,BOTH
352,Cercopithecidae,Papio,Yellow_Baboon,T
353,Cercopithecidae,Papio,Yellow_Baboon,AR
354,Cercopithecidae,Papio,Hamadryas_Baboon,T
355,Cercopithecidae,Papio,Kinda_Baboon,T
356,Cercopithecidae,Papio,Guinea_Baboon,T
357,Cercopithecidae,Papio,Guinea_Baboon,BOTH
358,Cercopithecidae,Papio,Chacma_Baboon,T
359,Galagidae,Paragalago,Kenya_Coast_Dwarf_Galago,
360,Galagidae,Paragalago,Mozambique_Dwarf_Galago,
