,Family,Genus,CommonName,Average_Weight
286,Lepilemuridae,Lepilemur,Small_toothed_Sportive_Lemur,1.1
287,Lepilemuridae,Lepilemur,Daraina_Sportive_Lemur,0.72
288,Lepilemuridae,Lepilemur,Daraina_Sportive_Lemur,0.71
289,Lepilemuridae,Lepilemur,Mittermeier_s_Sportive_Lemur,0.73
290,Lepilemuridae,Lepilemur,Mittermeier_s_Sportive_Lemur,0.99
291,Lepilemuridae,Lepilemur,Weasel_Sportive_Lemur,1.0
292,Lepilemuridae,Lepilemur,Weasel_Sportive_Lemur,0.96
293,Lepilemuridae,Lepilemur,Ambodimahabibo_Sportive_Lemur,0.938
294,Lepilemuridae,Lepilemur,Ambodimahabibo_Sportive_Lemur,0.94
295,Lepilemuridae,Lepilemur,Petter_s_Sportive_Lemur,0.62
296,Lepilemuridae,Lepilemur,Bemaraha_Sportive_Lemur,0.79
297,Lepilemuridae,Lepilemur,Bemaraha_Sportive_Lemur,0.92
298,Lepilemuridae,Lepilemur,Red_tailed_Sportive_Lemur,0.75
299,Lepilemuridae,Lepilemur,Red_tailed_Sportive_Lemur,0.81
300,Lepilemuridae,Lepilemur,Sahamalaza_Sportive_Lemur,0.69
301,Lepilemuridae,Lepilemur,Sahamalaza_Sportive_Lemur,0.69
302,Lepilemuridae,Lepilemur,Masoala_Sportive_Lemur,0.88
303,Lepilemuridae,Lepilemur,Seal_s_Sportive_Lemur,0.95
304,Lepilemuridae,Lepilemur,Sahafary_Sportive_Lemur,0.675
305,Lepilemuridae,Lepilemur,Sahafary_Sportive_Lemur,0.58
306,Lepilemuridae,Lepilemur,Nosy_Be_Sportive_Lemur,0.88
307,Lepilemuridae,Lepilemur,Wright_s_Sportive_Lemur,1.82
308,Lepilemuridae,Lepilemur,Wright_s_Sportive_Lemur,1.05
309,Cercopithecidae,Lophocebus,Gray_cheeked_Mangabey,6.95
310,Cercopithecidae,Lophocebus,Northern_Black_Crested_Mangabey,6.8
311,Cercopithecidae,Lophocebus,Johnston_s_Mangabey,6.58
312,Cercopithecidae,Lophocebus,Southern_Back_Crested_Mangabey,6.8
313,Cercopithecidae,Lophocebus,Rusty_mantled_Mangabey,6.58
314,Cercopithecidae,Lophocebus,Ugandan_Crested_Mangabey,6.5
315,Lorisidae,Loris,Gray_Slender_Loris,0.27
316,Lorisidae,Loris,Red_Slender_Loris,0.19
317,Cercopithecidae,Macaca,Stump_tailed_Macaque,10.3
318,Cercopithecidae,Macaca,Assamese_Macaque,9.0
319,Cercopithecidae,Macaca,Taiwanese_Macaque,5.47
320,Cercopithecidae,Macaca,Long_tailed_Macaque,4.03
321,Cercopithecidae,Macaca,Japanese_Macaque,9.5
322,Cercopithecidae,Macaca,Heck_s_Macaque,9.0
323,Cercopithecidae,Macaca,Northern_Pig_tailed_Macaque,6.7
324,Cercopithecidae,Macaca,White_cheeked_Macaque,
325,Cercopithecidae,Macaca,Moor_Macaque,7.88
326,Cercopithecidae,Macaca,Rhesus_Macaque,5.96
327,Cercopithecidae,Macaca,Arunachal_Macaque,15.0
328,Cercopithecidae,Macaca,Sunda_Pig_tailed_Macaque,8.89
329,Cercopithecidae,Macaca,Crested_Macaque,7.68
330,Cercopithecidae,Macaca,Gorontalo_Macaque,5.65
331,Cercopithecidae,Macaca,Booted_Macaque,3.95
332,Cercopithecidae,Macaca,Pagai_Macaque,6.38
333,Cercopithecidae,Macaca,Bonnet_Macaque,5.14
334,Cercopithecidae,Macaca,Siberut_Macaque,6.38
335,Cercopithecidae,Macaca,Siberut_Macaque,5.95
336,Cercopithecidae,Macaca,Lion_tailed_Macaque,7.5
337,Cercopithecidae,Macaca,Toque_Macaque,4.48
338,Cercopithecidae,Macaca,Barbary_Macaque,13.5
339,Cercopithecidae,Macaca,Tibetan_Macaque,15.55
340,Cercopithecidae,Macaca,Tonkean_Macaque,11.95
341,Cercopithecidae,Mandrillus,Drill,15.0
342,Cercopithecidae,Mandrillus,Drill,25.75
343,Cercopithecidae,Mandrillus,Mandrill,23.6
344,Callitrichidae,Mico,Rio_Acarí_Marmoset,0.42
345,Callitrichidae,Mico,Silvery_Marmoset,0.35
346,Callitrichidae,Mico,Golden_white_Tassel_ear_Marmoset,0.295
347,Callitrichidae,Mico,Snethlage_s_Marmoset,0.32
348,Callitrichidae,Mico,Santarém_Marmoset,0.42
349,Callitrichidae,Mico,Black_crowned_Dwarf_Marmoset,
350,Callitrichidae,Mico,Rio_Aripuanã_Marmoset,0.3
351,Callitrichidae,Mico,Rio_Aripuanã_Marmoset,0.35
352,Callitrichidae,Mico,Golden_white_Bare_ear_Marmoset,0.5
353,Callitrichidae,Mico,Marca_s_Marmoset,0.55
354,Callitrichidae,Mico,Maués_Marmoset,0.37
355,Callitrichidae,Mico,Black_tailed_Marmoset,0.22
356,Callitrichidae,Mico,Black_headed_Marmoset,0.38
357,Callitrichidae,Mico,Rondon_s_Marmoset,0.33
358,Callitrichidae,Mico,Sateré_Marmoset,0.44
359,Cheirogaleidae,Microcebus,Montagne_d_Ambre_Mouse_Lemur,0.05
360,Cheirogaleidae,Microcebus,Madame_Berthe_s_Mouse_Lemur,0.03
361,Cheirogaleidae,Microcebus,Bongolava_Mouse_Lemur,0.054000000000000006
362,Cheirogaleidae,Microcebus,Bongolava_Mouse_Lemur,0.05
363,Cheirogaleidae,Microcebus, Nosy_Boraha_Mouse_Lemur,
364,Cheirogaleidae,Microcebus,Ambarijeby_Mouse_Lemur,0.06
365,Cheirogaleidae,Microcebus,Gerp_s_Mouse_Lemur,0.07
366,Cheirogaleidae,Microcebus,Ganzhorn's_Mouse_Lemur,
367,Cheirogaleidae,Microcebus,Gray_brown_Mouse_Lemur,0.05
368,Cheirogaleidae,Microcebus,Gray_brown_Mouse_Lemur,0.05
369,Cheirogaleidae,Microcebus,Jolly_s_Mouse_Lemur,0.06
370,Cheirogaleidae,Microcebus,Goodman_s_Mouse_Lemur,0.05
371,Cheirogaleidae,Microcebus,Goodman_s_Mouse_Lemur,0.04
372,Cheirogaleidae,Microcebus,Anjiahely_Mouse_Lemur,0.05
373,Cheirogaleidae,Microcebus,Nosy_Be_Mouse_Lemur,0.06
374,Cheirogaleidae,Microcebus,Nosy_Be_Mouse_Lemur,0.06
375,Cheirogaleidae,Microcebus,Bemanasy_Mouse_Lemur,
376,Cheirogaleidae,Microcebus,Margot_Marsh_s_Mouse_Lemur,0.05
