,Family,Genus,CommonName,Territory (ha)
304,Callitrichidae,Leontocebus,Lesson_s_Saddle_back_Tamarin,
305,Callitrichidae,Leontocebus,Illiger_s_Saddle_back_Tamarin,16.1
306,Callitrichidae,Leontocebus,Red_mantled_Saddle_back_Tamarin,
307,Callitrichidae,Leontocebus,Andean_Saddle_back_Tamarin,
308,Callitrichidae,Leontocebus,Black_mantled_tamarin,49.0
309,Callitrichidae,Leontocebus,Geoffroy_s_Saddle_back_Tamarin,40.0
310,Callitrichidae,Leontocebus,Golden_mantled_Saddle_back_Tamarin,18.5
312,Callitrichidae,Leontocebus,Weddells_Saddle_back_Tamarin,42.0
313,Callitrichidae,Leontopithecus,Black_faced_Lion_Tamarin,345.0
314,Callitrichidae,Leontopithecus,Golden_headed_Lion_Tamarin,62.0
317,Callitrichidae,Leontopithecus,Black_Lion_Tamarin,152.0
320,Callitrichidae,Leontopithecus,Golden_Lion_Tamarin,147.0
321,Callitrichidae,Leontopithecus,Golden_Lion_Tamarin,45.2
322,Lepilemuridae,Lepilemur,Antafia_Sportive_Lemur,
323,Lepilemuridae,Lepilemur,Tsiombikibo_Sportive_Lemur,
324,Lepilemuridae,Lepilemur,Ankarana_Sportive_Lemur,3.0
326,Lepilemuridae,Lepilemur,Betsileo_Sportive_Lemur,
327,Lepilemuridae,Lepilemur,Gray_s_Sportive_Lemur,
328,Lepilemuridae,Lepilemur,Milne_Edwards_s_Sportive_Lemur,1.09
329,Lepilemuridae,Lepilemur,Andohahela_Sportive_Lemur,5.16
330,Lepilemuridae,Lepilemur,Anjiamangirana_Sportive_Lemur,
331,Lepilemuridae,Lepilemur,Mananara_Nord_Sportive_Lemur,
332,Lepilemuridae,Lepilemur,Zombitse_Sportive_Lemur,
333,Lepilemuridae,Lepilemur,Manombo_Sportive_Lemur,
334,Lepilemuridae,Lepilemur,White_footed_Sportive_Lemur,0.5
335,Lepilemuridae,Lepilemur,Small_toothed_Sportive_Lemur,0.5
336,Lepilemuridae,Lepilemur,Daraina_Sportive_Lemur,
337,Lepilemuridae,Lepilemur,Mittermeier_s_Sportive_Lemur,3.6
338,Lepilemuridae,Lepilemur,Weasel_Sportive_Lemur,1.0
340,Lepilemuridae,Lepilemur,Ambodimahabibo_Sportive_Lemur,
341,Lepilemuridae,Lepilemur,Petter_s_Sportive_Lemur,0.3
342,Lepilemuridae,Lepilemur,Bemaraha_Sportive_Lemur,
343,Lepilemuridae,Lepilemur,Red_tailed_Sportive_Lemur,0.8
344,Lepilemuridae,Lepilemur,Sahamalaza_Sportive_Lemur,0.84
345,Lepilemuridae,Lepilemur,Masoala_Sportive_Lemur,
346,Lepilemuridae,Lepilemur,Seal_s_Sportive_Lemur,
347,Lepilemuridae,Lepilemur,Sahafary_Sportive_Lemur,1.0
348,Lepilemuridae,Lepilemur,Sahafary_Sportive_Lemur,0.7
349,Lepilemuridae,Lepilemur,Nosy_Be_Sportive_Lemur,
350,Lepilemuridae,Lepilemur,Wright_s_Sportive_Lemur,
351,Cercopithecidae,Lophocebus,Gray_cheeked_Mangabey,179.0
353,Cercopithecidae,Lophocebus,Northern_Black_Crested_Mangabey,59.0
354,Cercopithecidae,Lophocebus,Johnston_s_Mangabey,
355,Cercopithecidae,Lophocebus,Southern_Back_Crested_Mangabey,
356,Cercopithecidae,Lophocebus,Rusty_mantled_Mangabey,
357,Cercopithecidae,Lophocebus,Ugandan_Crested_Mangabey,155.0
358,Lorisidae,Loris,Gray_Slender_Loris,15.0
360,Lorisidae,Loris,Red_Slender_Loris,4.0
362,Cercopithecidae,Macaca,Stump_tailed_Macaque,461.5
363,Cercopithecidae,Macaca,Assamese_Macaque,233.0
366,Cercopithecidae,Macaca,Taiwanese_Macaque,139.0
369,Cercopithecidae,Macaca,Long_tailed_Macaque,157.0
370,Cercopithecidae,Macaca,Japanese_Macaque,315.0
375,Cercopithecidae,Macaca,Heck_s_Macaque,100.0
376,Cercopithecidae,Macaca,Northern_Pig_tailed_Macaque,215.0
377,Cercopithecidae,Macaca,White_cheeked_Macaque,
378,Cercopithecidae,Macaca,Moor_Macaque,20.0
379,Cercopithecidae,Macaca,Rhesus_Macaque,47.75
380,Cercopithecidae,Macaca,Rhesus_Macaque,83.0
381,Cercopithecidae,Macaca,Arunachal_Macaque,26.0
382,Cercopithecidae,Macaca,Arunachal_Macaque,13.5
383,Cercopithecidae,Macaca,Sunda_Pig_tailed_Macaque,314.3
384,Cercopithecidae,Macaca,Sunda_Pig_tailed_Macaque,140.0
385,Cercopithecidae,Macaca,Crested_Macaque,216.0
386,Cercopithecidae,Macaca,Gorontalo_Macaque,
387,Cercopithecidae,Macaca,Booted_Macaque,57.0
388,Cercopithecidae,Macaca,Pagai_Macaque,
389,Cercopithecidae,Macaca,Bonnet_Macaque,26.0
391,Cercopithecidae,Macaca,Siberut_Macaque,130.0
392,Cercopithecidae,Macaca,Lion_tailed_Macaque,125.0
393,Cercopithecidae,Macaca,Lion_tailed_Macaque,500.0
394,Cercopithecidae,Macaca,Toque_Macaque,66.0
395,Cercopithecidae,Macaca,Barbary_Macaque,725.0
396,Cercopithecidae,Macaca,Barbary_Macaque,350.0
397,Cercopithecidae,Macaca,Tibetan_Macaque,1106.0
398,Cercopithecidae,Macaca,Tibetan_Macaque,3000.0
399,Cercopithecidae,Macaca,Tonkean_Macaque,104.75
400,Cercopithecidae,Mandrillus,Drill,2750.0
401,Cercopithecidae,Mandrillus,Mandrill,6160.0
405,Callitrichidae,Mico,Rio_Acarí_Marmoset,
406,Callitrichidae,Mico,Silvery_Marmoset,17.0
411,Callitrichidae,Mico,Golden_white_Tassel_ear_Marmoset,
412,Callitrichidae,Mico,Snethlage_s_Marmoset,
413,Callitrichidae,Mico,Santarém_Marmoset,13.8
414,Callitrichidae,Mico,Santarém_Marmoset,28.0
416,Callitrichidae,Mico,Rio_Aripuanã_Marmoset,25.17
417,Callitrichidae,Mico,Golden_white_Bare_ear_Marmoset,
418,Callitrichidae,Mico,Marca_s_Marmoset,
419,Callitrichidae,Mico,Maués_Marmoset,
420,Callitrichidae,Mico,Black_tailed_Marmoset,222.0
422,Callitrichidae,Mico,Black_headed_Marmoset,
423,Callitrichidae,Mico,Rondon_s_Marmoset,
424,Callitrichidae,Mico,Sateré_Marmoset,
425,Cheirogaleidae,Microcebus,Montagne_d_Ambre_Mouse_Lemur,
426,Cheirogaleidae,Microcebus,Madame_Berthe_s_Mouse_Lemur,3.7
427,Cheirogaleidae,Microcebus,Bongolava_Mouse_Lemur,
428,Cheirogaleidae,Microcebus, Nosy_Boraha_Mouse_Lemur,
429,Cheirogaleidae,Microcebus,Ambarijeby_Mouse_Lemur,
430,Cheirogaleidae,Microcebus,Ganzhorn's_Mouse_Lemur,
431,Cheirogaleidae,Microcebus,Gerp_s_Mouse_Lemur,
432,Cheirogaleidae,Microcebus,Gray_brown_Mouse_Lemur,0.0
434,Cheirogaleidae,Microcebus,Jolly_s_Mouse_Lemur,
435,Cheirogaleidae,Microcebus,Goodman_s_Mouse_Lemur,0.35
436,Cheirogaleidae,Microcebus,Anjiahely_Mouse_Lemur,
437,Cheirogaleidae,Microcebus,Nosy_Be_Mouse_Lemur,
