;CommonName;TrophicGuild;Fruit;Leaves;Flowers;Seeds;Animal;Gums;Nectar;Other;Country
270;Gray_Slender_Loris;Insectivore;1;NI;NI;NI;96;3;NI;NI;India
271;Red_Slender_Loris;Insectivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
272;Stump_tailed_Macaque;Folivore_frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
273;Assamese_Macaque;Frugivore;42.4;21.2;8.3;NI;NI;NI;NI;NI;Thailand
275;Taiwanese_Macaque;Folivore_frugivore;52;15;NI;NI;NI;NI;NI;NI;China
276;Long_tailed_Macaque;Frugivore;66.7;17.2;8.9;NI;4.1;NI;NI;3.1;Indonesia
277;Japanese_Macaque;Folivore_frugivore;20.9;20;4.6;31.55;5.4;0.1;0.1;17.35;Japan
278;Heck_s_Macaque;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
279;Northern_Pig_tailed_Macaque;Frugivore;65.9;6.1;2.1;6.1;11.7;NI;NI;9.9;India
280;White_cheeked_Macaque;Non-observed;;;;;;;;;China
281;Moor_Macaque;Frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
283;Rhesus_Macaque;Frugivore;79;NI;NI;NI;NI;NI;NI;NI;India
284;Arunachal_Macaque;Folivore;11.4;39.4;3.3;NI;NI;NI;NI;45.9;India
285;Sunda_Pig_tailed_Macaque;Frugivore;74.6;8.9;1.1;NI;12.6;NI;NI;2.8;NI
286;Crested_Macaque;Frugivore;65.05;NI;NI;2.55;32;NI;NI;NI;Indonesia
287;Gorontalo_Macaque;Frugivore;85.15;3.5;NI;NI;8.9;NI;NI;2.45;NI
288;Booted_Macaque;Frugivore;66;12;20;NI;2;NI;NI;NI;NI
289;Pagai_Macaque;Frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
290;Bonnet_Macaque;Frugivore;47.9;26.7;10.2;6;NI;NI;NI;9.2;India
291;Siberut_Macaque;Frugivore;75.5;4.4;0.2;NI;11.9;NI;NI;8;Indonesia
292;Lion_tailed_Macaque;Frugivore;61.9;7.1;;31;NI;NI;NI;NI;India
293;Toque_Macaque;Frugivore;66;11;1;1;5;1;NI;15;NI
294;Barbary_Macaque;Omnivore;33;39.9;NI;NI;NI;NI;NI;27.1;Morocco
295;Tibetan_Macaque;Frugivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
296;Tonkean_Macaque;Frugivore;74.7;6;0.8;7.25;10.1;NI;NI;1.15;Indonesia
297;Drill;Omnivore;38,7;NI;NI;NI;70;NI;NI;5;Cameroon
298;Mandrill;Omnivore;88;5;NI;NI;5;NI;NI;2;Gabon
299;Rio_Acarí_Marmoset;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
300;Silvery_Marmoset;Omnivore;42.87;NI;NI;NI;7.28;37.73;12.13;;Brazil
301;Golden_white_Tassel_ear_Marmoset;Omnivore;NI;NI;NI;NI;NI;NI;NI;;NI
302;Snethlage_s_Marmoset;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
303;Santarém_Marmoset;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
304;Black-crowned_Dwarf_Marmoset;;;;;;;;;;
305;Rio_Aripuanã_Marmoset;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;Brazil
306;Golden_white_Bare_ear_Marmoset;Omnivore;NI;NI;NI;NI;NI;NI;NI;NI;NI
307;Marca_s_Marmoset;;;;;;;;;;
