,Family,Genus,CommonName,Diet
244,Lepilemuridae,Lepilemur,Anjiamangirana_Sportive_Lemur,
245,Lepilemuridae,Lepilemur,Mananara_Nord_Sportive_Lemur,
246,Lepilemuridae,Lepilemur,Zombitse_Sportive_Lemur,
247,Lepilemuridae,Lepilemur,Manombo_Sportive_Lemur,
248,Lepilemuridae,Lepilemur,White_footed_Sportive_Lemur,Folivore
249,Lepilemuridae,Lepilemur,Small_toothed_Sportive_Lemur,Folivore_frugivore
250,Lepilemuridae,Lepilemur,Daraina_Sportive_Lemur,
251,Lepilemuridae,Lepilemur,Mittermeier_s_Sportive_Lemur,Folivore
252,Lepilemuridae,Lepilemur,Weasel_Sportive_Lemur,Folivore
253,Lepilemuridae,Lepilemur,Weasel_Sportive_Lemur,Folivore
254,Lepilemuridae,Lepilemur,Ambodimahabibo_Sportive_Lemur,
255,Lepilemuridae,Lepilemur,Petter_s_Sportive_Lemur,Folivore
256,Lepilemuridae,Lepilemur,Bemaraha_Sportive_Lemur,Folivore
257,Lepilemuridae,Lepilemur,Red_tailed_Sportive_Lemur,Folivore
258,Lepilemuridae,Lepilemur,Sahamalaza_Sportive_Lemur,Folivore
259,Lepilemuridae,Lepilemur,Masoala_Sportive_Lemur,Folivore
260,Lepilemuridae,Lepilemur,Seal_s_Sportive_Lemur,Folivore
261,Lepilemuridae,Lepilemur,Sahafary_Sportive_Lemur,Folivore
262,Lepilemuridae,Lepilemur,Nosy_Be_Sportive_Lemur,Folivore_frugivore
263,Lepilemuridae,Lepilemur,Wright_s_Sportive_Lemur,Folivore
264,Cercopithecidae,Lophocebus,Gray_cheeked_Mangabey,Frugivore
265,Cercopithecidae,Lophocebus,Northern_Black_Crested_Mangabey,Frugivore
266,Cercopithecidae,Lophocebus,Johnston_s_Mangabey,
267,Cercopithecidae,Lophocebus,Southern_Back_Crested_Mangabey,
268,Cercopithecidae,Lophocebus,Rusty_mantled_Mangabey,
269,Cercopithecidae,Lophocebus,Ugandan_Crested_Mangabey,Folivore_frugivore
270,Lorisidae,Loris,Gray_Slender_Loris,Insectivore
271,Lorisidae,Loris,Red_Slender_Loris,Insectivore
272,Cercopithecidae,Macaca,Stump_tailed_Macaque,Folivore_frugivore
273,Cercopithecidae,Macaca,Assamese_Macaque,Frugivore
274,Cercopithecidae,Macaca,Taiwanese_Macaque,Frugivore
275,Cercopithecidae,Macaca,Taiwanese_Macaque,Folivore_frugivore
276,Cercopithecidae,Macaca,Long_tailed_Macaque,Frugivore
277,Cercopithecidae,Macaca,Japanese_Macaque,Folivore_frugivore
278,Cercopithecidae,Macaca,Heck_s_Macaque,Omnivore
279,Cercopithecidae,Macaca,Northern_Pig_tailed_Macaque,Frugivore
280,Cercopithecidae,Macaca,White_cheeked_Macaque,
281,Cercopithecidae,Macaca,Moor_Macaque,Frugivore
282,Cercopithecidae,Macaca,Rhesus_Macaque,Folivore_frugivore
